time,control_type,position_x,position_y,position_z,desired_position_x,desired_position_y,desired_position_z,position_error_norm,orientation_error_deg,control_effort,oscillation_index
5.066,open_loop,0.315819,0.00140183,0.575726,0.499867,-0.0999999,0.300003,0.346669,2.23481,34.6756,0.11737
5.067,open_loop,0.315894,0.00124315,0.575311,0.499861,-0.0999999,0.300003,0.34625,2.25255,34.6339,0.127623
5.068,open_loop,0.31597,0.00109045,0.574896,0.499854,-0.0999999,0.300003,0.345831,2.26984,34.5922,0.0553205
5.069,open_loop,0.316043,0.000931339,0.574468,0.499848,-0.0999999,0.300003,0.345402,2.28783,34.5494,0.112634
5.07,open_loop,0.316121,0.000780676,0.574039,0.499841,-0.0999999,0.300003,0.344972,2.30575,34.5066,0.119373
5.071,open_loop,0.316196,0.000619413,0.573598,0.499834,-0.0999999,0.300003,0.344531,2.32496,34.4627,0.131524
5.072,open_loop,0.316272,0.000464139,0.573156,0.499827,-0.0999999,0.300003,0.34409,2.34375,34.4187,0.058707
5.073,open_loop,0.316346,0.000302478,0.572701,0.49982,-0.0999998,0.300003,0.343639,2.36323,34.3738,0.117726
5.074,open_loop,0.316424,0.000149271,0.572246,0.499812,-0.0999998,0.300003,0.343187,2.3827,34.3288,0.12114
5.075,open_loop,0.316499,-1.45123e-05,0.571779,0.499805,-0.0999998,0.300003,0.342724,2.40346,34.2827,0.135783
5.076,open_loop,0.316577,-0.000172316,0.571311,0.499797,-0.0999998,0.300003,0.342262,2.42386,34.2366,0.0620327
5.077,open_loop,0.316651,-0.000336504,0.57083,0.499789,-0.0999998,0.300003,0.341789,2.44496,34.1895,0.122874
5.078,open_loop,0.31673,-0.000492241,0.570349,0.49978,-0.0999998,0.300003,0.341316,2.46612,34.1425,0.122665
5.079,open_loop,0.316805,-0.000658545,0.569856,0.499772,-0.0999997,0.300003,0.340832,2.4886,34.0943,0.140265
5.08,open_loop,0.316883,-0.000818889,0.569363,0.499763,-0.0999997,0.300003,0.340348,2.5108,34.0461,0.0652402
5.081,open_loop,0.316958,-0.000985626,0.568857,0.499754,-0.0999997,0.300003,0.339854,2.53371,33.9969,0.127985
5.082,open_loop,0.317037,-0.00114393,0.568351,0.499745,-0.0999997,0.300003,0.339361,2.55677,33.9478,0.123966
5.083,open_loop,0.317113,-0.0013128,0.567833,0.499736,-0.0999997,0.300003,0.338856,2.58119,33.8976,0.144852
5.084,open_loop,0.317191,-0.00147574,0.567315,0.499726,-0.0999996,0.300003,0.338351,2.60539,33.8474,0.0683072
5.085,open_loop,0.317267,-0.00164508,0.566785,0.499716,-0.0999996,0.300003,0.337837,2.63034,33.7962,0.13299
5.086,open_loop,0.317347,-0.00180603,0.566254,0.499706,-0.0999996,0.300003,0.337323,2.65553,33.745,0.125042
5.087,open_loop,0.317423,-0.00197753,0.565712,0.499696,-0.0999995,0.300003,0.336798,2.6821,33.6928,0.149455
5.088,open_loop,0.317502,-0.00214316,0.56517,0.499685,-0.0999995,0.300003,0.336274,2.70853,33.6407,0.0711994
5.089,open_loop,0.317578,-0.00231521,0.564615,0.499674,-0.0999995,0.300003,0.33574,2.73573,33.5875,0.137832
5.09,open_loop,0.317659,-0.00247889,0.564061,0.499663,-0.0999994,0.300003,0.335206,2.76325,33.5345,0.125901
5.091,open_loop,0.317736,-0.00265315,0.563496,0.499652,-0.0999994,0.300003,0.334661,2.79218,33.4803,0.15399
5.092,open_loop,0.317816,-0.00282158,0.56293,0.49964,-0.0999994,0.300003,0.334118,2.82103,33.4263,0.0738985
5.093,open_loop,0.317893,-0.00299645,0.562353,0.499629,-0.0999993,0.300003,0.333564,2.85066,33.3712,0.142467
5.094,open_loop,0.317974,-0.003163,0.561776,0.499617,-0.0999993,0.300003,0.333011,2.88068,33.3163,0.126559
5.095,open_loop,0.318052,-0.00334014,0.561187,0.499604,-0.0999992,0.300003,0.332448,2.91211,33.2603,0.158394
5.096,open_loop,0.318133,-0.00351149,0.560599,0.499592,-0.0999992,0.300003,0.331885,2.94352,33.2044,0.0763936
5.097,open_loop,0.31821,-0.00368932,0.559999,0.499579,-0.0999991,0.300003,0.331313,2.97571,33.1476,0.146863
5.098,open_loop,0.318292,-0.00385887,0.5594,0.499566,-0.0999991,0.300003,0.330742,3.00833,33.0908,0.127019
5.099,open_loop,0.318371,-0.00403902,0.55879,0.499552,-0.099999,0.300003,0.33016,3.04237,33.0331,0.162618
5.1,open_loop,0.318452,-0.00421345,0.558179,0.499539,-0.0999989,0.300003,0.329579,3.07641,32.9754,0.0786742
5.101,open_loop,0.318531,-0.00439437,0.557558,0.499525,-0.0999989,0.300003,0.328989,3.11122,32.9168,0.150995
5.102,open_loop,0.318614,-0.00456707,0.556937,0.499511,-0.0999988,0.300003,0.3284,3.1465,32.8583,0.127292
5.103,open_loop,0.318694,-0.00475038,0.556306,0.499496,-0.0999987,0.300003,0.3278,3.18316,32.7989,0.166621
5.104,open_loop,0.318776,-0.00492803,0.555675,0.499481,-0.0999987,0.300003,0.327202,3.21985,32.7395,0.0807372
5.105,open_loop,0.318855,-0.00511219,0.555032,0.499466,-0.0999986,0.300003,0.326595,3.25728,32.6792,0.154847
5.106,open_loop,0.318939,-0.00528819,0.554391,0.499451,-0.0999985,0.300003,0.325988,3.29519,32.6191,0.127392
5.107,open_loop,0.319019,-0.0054748,0.553739,0.499436,-0.0999984,0.300003,0.325372,3.33444,32.558,0.170373
5.108,open_loop,0.319103,-0.00565581,0.553088,0.49942,-0.0999983,0.300003,0.324757,3.37373,32.497,0.0825826
5.109,open_loop,0.319183,-0.00584335,0.552425,0.499404,-0.0999982,0.300003,0.324133,3.4137,32.4352,0.158404
5.11,open_loop,0.319267,-0.00602279,0.551764,0.499387,-0.0999981,0.300003,0.32351,3.45415,32.3734,0.127332
5.111,open_loop,0.319349,-0.00621285,0.551093,0.49937,-0.099998,0.300003,0.322877,3.4959,32.3108,0.173851
5.112,open_loop,0.319433,-0.00639735,0.550422,0.499353,-0.0999979,0.300003,0.322246,3.53767,32.2482,0.0842123
5.113,open_loop,0.319514,-0.00658841,0.549741,0.499336,-0.0999978,0.300003,0.321606,3.58007,32.1849,0.161662
5.114,open_loop,0.319599,-0.00677142,0.549061,0.499318,-0.0999977,0.300003,0.320967,3.62293,32.1216,0.127123
5.115,open_loop,0.319682,-0.00696505,0.54837,0.4993,-0.0999976,0.300003,0.320319,3.66702,32.0575,0.17704
5.116,open_loop,0.319767,-0.00715319,0.547681,0.499282,-0.0999974,0.300003,0.319672,3.7111,31.9935,0.0856305
5.117,open_loop,0.319848,-0.00734788,0.546981,0.499263,-0.0999973,0.300003,0.319017,3.75576,31.9287,0.164614
5.118,open_loop,0.319935,-0.00753457,0.546283,0.499245,-0.0999971,0.300003,0.318364,3.80084,31.864,0.126778
5.119,open_loop,0.320018,-0.00773189,0.545575,0.499225,-0.099997,0.300003,0.317701,3.84709,31.7984,0.179929
5.12,open_loop,0.320104,-0.00792377,0.544868,0.499206,-0.0999968,0.300003,0.317039,3.8933,31.733,0.0868432
5.121,open_loop,0.320186,-0.00812221,0.54415,0.499186,-0.0999967,0.300003,0.31637,3.94001,31.6669,0.167262
5.122,open_loop,0.320273,-0.0083127,0.543435,0.499166,-0.0999965,0.300003,0.315702,3.9871,31.6008,0.12631
5.123,open_loop,0.320357,-0.0085138,0.542709,0.499145,-0.0999963,0.300003,0.315025,4.03528,31.534,0.182512
5.124,open_loop,0.320444,-0.00870952,0.541985,0.499124,-0.0999962,0.300003,0.31435,4.08339,31.4673,0.0878572
5.125,open_loop,0.320527,-0.00891179,0.541251,0.499103,-0.099996,0.300003,0.313666,4.13192,31.3998,0.169607
5.126,open_loop,0.320615,-0.00910616,0.540519,0.499082,-0.0999958,0.300003,0.312985,4.18079,31.3325,0.125731
5.127,open_loop,0.3207,-0.00931113,0.539777,0.49906,-0.0999956,0.300003,0.312295,4.23068,31.2644,0.184786
5.128,open_loop,0.320787,-0.00951077,0.539037,0.499038,-0.0999954,0.300003,0.311606,4.28043,31.1964,0.0886811
5.129,open_loop,0.320871,-0.00971693,0.538287,0.499015,-0.0999952,0.300003,0.31091,4.33055,31.1278,0.171657
5.13,open_loop,0.320959,-0.00991525,0.53754,0.498992,-0.0999949,0.300003,0.310216,4.38096,31.0593,0.125072
5.131,open_loop,0.321045,-0.0101241,0.536782,0.498969,-0.0999947,0.300003,0.309513,4.43229,30.99,0.186754
5.132,open_loop,0.321132,-0.0103278,0.536027,0.498946,-0.0999944,0.300003,0.308813,4.48346,30.9209,0.0893213
5.133,open_loop,0.321217,-0.0105379,0.535262,0.498922,-0.0999942,0.300003,0.308105,4.53491,30.8511,0.173411
5.134,open_loop,0.321306,-0.0107402,0.534499,0.498897,-0.0999939,0.300003,0.307398,4.58661,30.7815,0.124309
5.135,open_loop,0.321391,-0.010953,0.533728,0.498873,-0.0999936,0.300003,0.306684,4.63915,30.7111,0.188414
5.136,open_loop,0.32148,-0.0111606,0.532958,0.498848,-0.0999934,0.300003,0.305972,4.69148,30.641,0.0897885
5.137,open_loop,0.321565,-0.0113747,0.532178,0.498822,-0.0999931,0.300003,0.305253,4.74402,30.5702,0.174882
5.138,open_loop,0.321654,-0.011581,0.531402,0.498797,-0.0999928,0.300003,0.304535,4.79676,30.4995,0.123466
5.139,open_loop,0.32174,-0.0117979,0.530616,0.498771,-0.0999924,0.300003,0.30381,4.85026,30.4282,0.189777
5.14,open_loop,0.321828,-0.0120095,0.529832,0.498744,-0.0999921,0.300003,0.303087,4.90351,30.357,0.0900927
5.141,open_loop,0.321914,-0.0122275,0.52904,0.498717,-0.0999918,0.300003,0.302358,4.95691,30.2852,0.176077
5.142,open_loop,0.322003,-0.0124378,0.52825,0.49869,-0.0999914,0.300003,0.30163,5.01045,30.2137,0.122548
5.143,open_loop,0.322089,-0.0126586,0.527451,0.498663,-0.0999911,0.300003,0.300895,5.06469,30.1414,0.190844
5.144,open_loop,0.322178,-0.0128742,0.526654,0.498635,-0.0999907,0.300003,0.300162,5.11863,30.0694,0.090241
5.145,open_loop,0.322263,-0.0130962,0.525849,0.498606,-0.0999903,0.300003,0.299423,5.17265,29.9967,0.177008
5.146,open_loop,0.322353,-0.0133105,0.525047,0.498578,-0.0999899,0.300003,0.298686,5.22678,29.9243,0.121578
5.147,open_loop,0.322439,-0.0135352,0.524236,0.498549,-0.0999895,0.300003,0.297942,5.28153,29.8512,0.191628
5.148,open_loop,0.322528,-0.0137548,0.523427,0.498519,-0.099989,0.300003,0.2972,5.33594,29.7783,0.0902432
5.149,open_loop,0.322613,-0.0139807,0.52261,0.498489,-0.0999886,0.300003,0.296452,5.39037,29.7049,0.177686
5.15,open_loop,0.322702,-0.0141989,0.521796,0.498459,-0.0999881,0.300003,0.295707,5.44487,29.6317,0.120554
5.151,open_loop,0.322788,-0.0144275,0.520973,0.498429,-0.0999877,0.300003,0.294954,5.49993,29.5578,0.192138
5.152,open_loop,0.322877,-0.014651,0.520153,0.498398,-0.0999872,0.300003,0.294204,5.55461,29.4842,0.0901091
