time,phase,pos_x,pos_y,pos_z,force_x,force_y,force_z,force_magnitude,depth,target_force
1.297000,1,0.312162,0.001788,0.521095,0.000000,0.000000,1.000000,1.000000,-0.016095,10.000000
1.307000,1,0.312166,0.001806,0.521096,0.000000,0.000000,1.000000,1.000000,-0.016096,10.000000
1.317000,1,0.312162,0.001815,0.521095,0.000000,0.000000,1.000000,1.000000,-0.016095,10.000000
1.327000,1,0.312162,0.001827,0.521094,0.000000,0.000000,1.000000,1.000000,-0.016094,10.000000
1.337000,1,0.312160,0.001837,0.521091,0.000000,0.000000,1.000000,1.000000,-0.016091,10.000000
1.347000,1,0.312159,0.001852,0.521095,0.000000,0.000000,1.000000,1.000000,-0.016095,10.000000
1.357000,1,0.312159,0.001862,0.521090,0.000000,0.000000,1.000000,1.000000,-0.016090,10.000000
1.367000,1,0.312155,0.001869,0.521091,0.000000,0.000000,1.000000,1.000000,-0.016091,10.000000
1.377000,1,0.312159,0.001885,0.521093,0.000000,0.000000,1.000000,1.000000,-0.016093,10.000000
1.387000,1,0.312155,0.001894,0.521092,0.000000,0.000000,1.000000,1.000000,-0.016092,10.000000
1.397000,1,0.312156,0.001905,0.521091,0.000000,0.000000,1.000000,1.000000,-0.016091,10.000000
1.407000,1,0.312154,0.001914,0.521088,0.000000,0.000000,1.000000,1.000000,-0.016088,10.000000
1.417000,1,0.312153,0.001929,0.521092,0.000000,0.000000,1.000000,1.000000,-0.016092,10.000000
1.427000,1,0.312153,0.001937,0.521087,0.000000,0.000000,1.000000,1.000000,-0.016087,10.000000
1.437000,1,0.312149,0.001944,0.521089,0.000000,0.000000,1.000000,1.000000,-0.016089,10.000000
1.447000,1,0.312154,0.001959,0.521090,0.000000,0.000000,1.000000,1.000000,-0.016090,10.000000
1.457000,1,0.312150,0.001967,0.521089,0.000000,0.000000,1.000000,1.000000,-0.016089,10.000000
1.467000,1,0.312150,0.001977,0.521088,0.000000,0.000000,1.000000,1.000000,-0.016088,10.000000
1.477000,1,0.312148,0.001986,0.521085,0.000000,0.000000,1.000000,1.000000,-0.016085,10.000000
1.487000,1,0.312148,0.001999,0.521090,0.000000,0.000000,1.000000,1.000000,-0.016090,10.000000
1.497000,1,0.312147,0.002007,0.521084,0.000000,0.000000,1.000000,1.000000,-0.016084,10.000000
1.507000,1,0.312144,0.002013,0.521086,0.000000,0.000000,1.000000,1.000000,-0.016086,10.000000
1.517000,1,0.312148,0.002028,0.521087,0.000000,0.000000,1.000000,1.000000,-0.016087,10.000000
1.527000,1,0.312144,0.002035,0.521086,0.000000,0.000000,1.000000,1.000000,-0.016086,10.000000
1.537000,1,0.312145,0.002044,0.521086,0.000000,0.000000,1.000000,1.000000,-0.016086,10.000000
1.547000,1,0.312143,0.002052,0.521082,0.000000,0.000000,1.000000,1.000000,-0.016082,10.000000
1.557000,1,0.312142,0.002065,0.521087,0.000000,0.000000,1.000000,1.000000,-0.016087,10.000000
