# 实验开始时间: 0.056000 秒
# 本地时间: 20250506_151001
# 控制阶段说明: 0=APPROACH, 1=CONTACT, 2=CIRCULAR
# 软块物理属性: 杨氏模量=1000.000000Pa, 泊松比=0.450000
# 目标力: 10.000000N
# ---------------------------------------
time,phase,pos_x,pos_y,pos_z,force_x,force_y,force_z,force_magnitude,depth,target_force
0.993000,1,0.312099,0.001508,0.521064,0.000000,0.000000,1.000000,1.000000,-0.016064,10.000000
1.003000,1,0.312096,0.001520,0.521066,0.000000,0.000000,1.000000,1.000000,-0.016066,10.000000
1.013000,1,0.312101,0.001541,0.521067,0.000000,0.000000,1.000000,1.000000,-0.016067,10.000000
1.023000,1,0.312098,0.001554,0.521065,0.000000,0.000000,1.000000,1.000000,-0.016065,10.000000
1.033000,1,0.312099,0.001569,0.521064,0.000000,0.000000,1.000000,1.000000,-0.016064,10.000000
1.043000,1,0.312098,0.001583,0.521061,0.000000,0.000000,1.000000,1.000000,-0.016061,10.000000
1.053000,1,0.312098,0.001602,0.521065,0.000000,0.000000,1.000000,1.000000,-0.016065,10.000000
1.063000,1,0.312098,0.001615,0.521059,0.000000,0.000000,1.000000,1.000000,-0.016059,10.000000
1.073000,1,0.312095,0.001625,0.521060,0.000000,0.000000,1.000000,1.000000,-0.016060,10.000000
1.083000,1,0.312100,0.001645,0.521061,0.000000,0.000000,1.000000,1.000000,-0.016061,10.000000
1.093000,1,0.312097,0.001657,0.521060,0.000000,0.000000,1.000000,1.000000,-0.016060,10.000000
1.103000,1,0.312098,0.001671,0.521059,0.000000,0.000000,1.000000,1.000000,-0.016059,10.000000
1.113000,1,0.312097,0.001684,0.521055,0.000000,0.000000,1.000000,1.000000,-0.016055,10.000000
1.123000,1,0.312097,0.001702,0.521059,0.000000,0.000000,1.000000,1.000000,-0.016059,10.000000
1.133000,1,0.312097,0.001713,0.521053,0.000000,0.000000,1.000000,1.000000,-0.016053,10.000000
1.143000,1,0.312094,0.001723,0.521055,0.000000,0.000000,1.000000,1.000000,-0.016055,10.000000
1.153000,1,0.312099,0.001742,0.521056,0.000000,0.000000,1.000000,1.000000,-0.016056,10.000000
1.163000,1,0.312096,0.001753,0.521055,0.000000,0.000000,1.000000,1.000000,-0.016055,10.000000
1.173000,1,0.312097,0.001765,0.521054,0.000000,0.000000,1.000000,1.000000,-0.016054,10.000000
1.183000,1,0.312096,0.001777,0.521050,0.000000,0.000000,1.000000,1.000000,-0.016050,10.000000
1.193000,1,0.312096,0.001794,0.521055,0.000000,0.000000,1.000000,1.000000,-0.016055,10.000000
1.203000,1,0.312096,0.001805,0.521049,0.000000,0.000000,1.000000,1.000000,-0.016049,10.000000
1.213000,1,0.312094,0.001813,0.521050,0.000000,0.000000,1.000000,1.000000,-0.016050,10.000000
1.223000,1,0.312099,0.001831,0.521051,0.000000,0.000000,1.000000,1.000000,-0.016051,10.000000
1.233000,1,0.312095,0.001841,0.521050,0.000000,0.000000,1.000000,1.000000,-0.016050,10.000000
1.243000,1,0.312096,0.001853,0.521049,0.000000,0.000000,1.000000,1.000000,-0.016049,10.000000
1.253000,1,0.312096,0.001864,0.521046,0.000000,0.000000,1.000000,1.000000,-0.016046,10.000000
1.263000,1,0.312095,0.001880,0.521050,0.000000,0.000000,1.000000,1.000000,-0.016050,10.000000
1.273000,1,0.312096,0.001889,0.521044,0.000000,0.000000,1.000000,1.000000,-0.016044,10.000000
1.283000,1,0.312093,0.001897,0.521046,0.000000,0.000000,1.000000,1.000000,-0.016046,10.000000
1.293000,1,0.312098,0.001914,0.521047,0.000000,0.000000,1.000000,1.000000,-0.016047,10.000000
1.303000,1,0.312095,0.001923,0.521045,0.000000,0.000000,1.000000,1.000000,-0.016045,10.000000
1.313000,1,0.312096,0.001934,0.521045,0.000000,0.000000,1.000000,1.000000,-0.016045,10.000000
1.323000,1,0.312095,0.001944,0.521041,0.000000,0.000000,1.000000,1.000000,-0.016041,10.000000
1.333000,1,0.312095,0.001959,0.521045,0.000000,0.000000,1.000000,1.000000,-0.016045,10.000000
1.343000,1,0.312096,0.001968,0.521040,0.000000,0.000000,1.000000,1.000000,-0.016040,10.000000
1.353000,1,0.312093,0.001975,0.521041,0.000000,0.000000,1.000000,1.000000,-0.016041,10.000000
1.363000,1,0.312098,0.001991,0.521042,0.000000,0.000000,1.000000,1.000000,-0.016042,10.000000
1.373000,1,0.312095,0.001999,0.521041,0.000000,0.000000,1.000000,1.000000,-0.016041,10.000000
1.383000,1,0.312096,0.002009,0.521041,0.000000,0.000000,1.000000,1.000000,-0.016041,10.000000
1.393000,1,0.312095,0.002019,0.521037,0.000000,0.000000,1.000000,1.000000,-0.016037,10.000000
1.403000,1,0.312095,0.002033,0.521041,0.000000,0.000000,1.000000,1.000000,-0.016041,10.000000
1.413000,1,0.312096,0.002041,0.521035,0.000000,0.000000,1.000000,1.000000,-0.016035,10.000000
1.423000,1,0.312093,0.002047,0.521037,0.000000,0.000000,1.000000,1.000000,-0.016037,10.000000
1.433000,1,0.312098,0.002062,0.521038,0.000000,0.000000,1.000000,1.000000,-0.016038,10.000000
1.443000,1,0.312095,0.002069,0.521037,0.000000,0.000000,1.000000,1.000000,-0.016037,10.000000
1.453000,1,0.312096,0.002079,0.521037,0.000000,0.000000,1.000000,1.000000,-0.016037,10.000000
1.463000,1,0.312096,0.002088,0.521033,0.000000,0.000000,1.000000,1.000000,-0.016033,10.000000
1.473000,1,0.312096,0.002101,0.521038,0.000000,0.000000,1.000000,1.000000,-0.016038,10.000000
1.483000,1,0.312096,0.002108,0.521032,0.000000,0.000000,1.000000,1.000000,-0.016032,10.000000
1.493000,1,0.312094,0.002114,0.521033,0.000000,0.000000,1.000000,1.000000,-0.016033,10.000000
1.503000,1,0.312099,0.002128,0.521035,0.000000,0.000000,1.000000,1.000000,-0.016035,10.000000
1.513000,1,0.312096,0.002135,0.521033,0.000000,0.000000,1.000000,1.000000,-0.016033,10.000000
1.523000,1,0.312097,0.002144,0.521033,0.000000,0.000000,1.000000,1.000000,-0.016033,10.000000
1.533000,1,0.312096,0.002152,0.521029,0.000000,0.000000,1.000000,1.000000,-0.016029,10.000000
1.543000,1,0.312096,0.002164,0.521034,0.000000,0.000000,1.000000,1.000000,-0.016034,10.000000
1.553000,1,0.312096,0.002171,0.521028,0.000000,0.000000,1.000000,1.000000,-0.016028,10.000000
1.563000,1,0.312094,0.002176,0.521030,0.000000,0.000000,1.000000,1.000000,-0.016030,10.000000
1.573000,1,0.312099,0.002190,0.521031,0.000000,0.000000,1.000000,1.000000,-0.016031,10.000000
1.583000,1,0.312096,0.002196,0.521030,0.000000,0.000000,1.000000,1.000000,-0.016030,10.000000
1.593000,1,0.312097,0.002204,0.521030,0.000000,0.000000,1.000000,1.000000,-0.016030,10.000000
1.603000,1,0.312096,0.002211,0.521026,0.000000,0.000000,1.000000,1.000000,-0.016026,10.000000
1.613000,1,0.312096,0.002223,0.521031,0.000000,0.000000,1.000000,1.000000,-0.016031,10.000000
1.623000,1,0.312097,0.002229,0.521025,0.000000,0.000000,1.000000,1.000000,-0.016025,10.000000
1.633000,1,0.312094,0.002233,0.521027,0.000000,0.000000,1.000000,1.000000,-0.016027,10.000000
1.643000,1,0.312099,0.002247,0.521028,0.000000,0.000000,1.000000,1.000000,-0.016028,10.000000
1.653000,1,0.312096,0.002252,0.521027,0.000000,0.000000,1.000000,1.000000,-0.016027,10.000000
1.663000,1,0.312097,0.002260,0.521026,0.000000,0.000000,1.000000,1.000000,-0.016026,10.000000
1.673000,1,0.312097,0.002266,0.521023,0.000000,0.000000,1.000000,1.000000,-0.016023,10.000000
1.683000,1,0.312097,0.002278,0.521027,0.000000,0.000000,1.000000,1.000000,-0.016027,10.000000
1.693000,1,0.312097,0.002283,0.521022,0.000000,0.000000,1.000000,1.000000,-0.016022,10.000000
1.703000,1,0.312095,0.002287,0.521024,0.000000,0.000000,1.000000,1.000000,-0.016024,10.000000
1.713000,1,0.312100,0.002300,0.521025,0.000000,0.000000,1.000000,1.000000,-0.016025,10.000000
1.723000,1,0.312097,0.002304,0.521024,0.000000,0.000000,1.000000,1.000000,-0.016024,10.000000
1.733000,1,0.312098,0.002312,0.521023,0.000000,0.000000,1.000000,1.000000,-0.016023,10.000000
1.743000,1,0.312097,0.002318,0.521020,0.000000,0.000000,1.000000,1.000000,-0.016020,10.000000
1.753000,1,0.312097,0.002328,0.521025,0.000000,0.000000,1.000000,1.000000,-0.016025,10.000000
1.763000,1,0.312098,0.002333,0.521019,0.000000,0.000000,1.000000,1.000000,-0.016019,10.000000
1.773000,1,0.312095,0.002336,0.521021,0.000000,0.000000,1.000000,1.000000,-0.016021,10.000000
1.783000,1,0.312100,0.002349,0.521022,0.000000,0.000000,1.000000,1.000000,-0.016022,10.000000
1.793000,1,0.312098,0.002353,0.521021,0.000000,0.000000,1.000000,1.000000,-0.016021,10.000000
1.803000,1,0.312099,0.002360,0.521021,0.000000,0.000000,1.000000,1.000000,-0.016021,10.000000
1.813000,1,0.312098,0.002365,0.521017,0.000000,0.000000,1.000000,1.000000,-0.016017,10.000000
1.823000,1,0.312098,0.002375,0.521022,0.000000,0.000000,1.000000,1.000000,-0.016022,10.000000
1.833000,1,0.312098,0.002380,0.521016,0.000000,0.000000,1.000000,1.000000,-0.016016,10.000000
1.843000,1,0.312096,0.002383,0.521018,0.000000,0.000000,1.000000,1.000000,-0.016018,10.000000
1.853000,1,0.312101,0.002394,0.521019,0.000000,0.000000,1.000000,1.000000,-0.016019,10.000000
1.863000,1,0.312098,0.002398,0.521018,0.000000,0.000000,1.000000,1.000000,-0.016018,10.000000
1.873000,1,0.312099,0.002404,0.521018,0.000000,0.000000,1.000000,1.000000,-0.016018,10.000000
1.883000,1,0.312099,0.002409,0.521015,0.000000,0.000000,1.000000,1.000000,-0.016015,10.000000
1.893000,1,0.312099,0.002419,0.521019,0.000000,0.000000,1.000000,1.000000,-0.016019,10.000000
1.903000,1,0.312099,0.002423,0.521014,0.000000,0.000000,1.000000,1.000000,-0.016014,10.000000
1.913000,1,0.312097,0.002425,0.521016,0.000000,0.000000,1.000000,1.000000,-0.016016,10.000000
1.923000,1,0.312102,0.002436,0.521017,0.000000,0.000000,1.000000,1.000000,-0.016017,10.000000
1.933000,1,0.312099,0.002440,0.521016,0.000000,0.000000,1.000000,1.000000,-0.016016,10.000000
1.943000,1,0.312100,0.002445,0.521016,0.000000,0.000000,1.000000,1.000000,-0.016016,10.000000
1.953000,1,0.312099,0.002450,0.521012,0.000000,0.000000,1.000000,1.000000,-0.016012,10.000000
1.963000,1,0.312099,0.002459,0.521017,0.000000,0.000000,1.000000,1.000000,-0.016017,10.000000
1.973000,1,0.312100,0.002463,0.521011,0.000000,0.000000,1.000000,1.000000,-0.016011,10.000000
1.983000,1,0.312097,0.002465,0.521013,0.000000,0.000000,1.000000,1.000000,-0.016013,10.000000
1.993000,1,0.312102,0.002476,0.521015,0.000000,0.000000,1.000000,1.000000,-0.016015,10.000000
2.003000,1,0.312100,0.002478,0.521014,0.000000,0.000000,1.000000,1.000000,-0.016014,10.000000
2.013000,1,0.312101,0.002484,0.521014,0.000000,0.000000,1.000000,1.000000,-0.016014,10.000000
2.023000,1,0.312100,0.002488,0.521010,0.000000,0.000000,1.000000,1.000000,-0.016010,10.000000
2.033000,1,0.312100,0.002497,0.521015,0.000000,0.000000,1.000000,1.000000,-0.016015,10.000000
2.043000,1,0.312100,0.002500,0.521009,0.000000,0.000000,1.000000,1.000000,-0.016009,10.000000
2.053000,1,0.312098,0.002502,0.521011,0.000000,0.000000,1.000000,1.000000,-0.016011,10.000000
2.063000,1,0.312103,0.002512,0.521013,0.000000,0.000000,1.000000,1.000000,-0.016013,10.000000
2.073000,1,0.312100,0.002514,0.521012,0.000000,0.000000,1.000000,1.000000,-0.016012,10.000000
2.083000,1,0.312101,0.002519,0.521011,0.000000,0.000000,1.000000,1.000000,-0.016011,10.000000
2.093000,1,0.312101,0.002523,0.521008,0.000000,0.000000,1.000000,1.000000,-0.016008,10.000000
2.103000,1,0.312101,0.002532,0.521013,0.000000,0.000000,1.000000,1.000000,-0.016013,10.000000
2.113000,1,0.312101,0.002535,0.521007,0.000000,0.000000,1.000000,1.000000,-0.016007,10.000000
2.123000,1,0.312099,0.002536,0.521009,0.000000,0.000000,1.000000,1.000000,-0.016009,10.000000
2.133000,1,0.312104,0.002546,0.521011,0.000000,0.000000,1.000000,1.000000,-0.016011,10.000000
2.143000,1,0.312101,0.002548,0.521010,0.000000,0.000000,1.000000,1.000000,-0.016010,10.000000
2.153000,1,0.312102,0.002552,0.521010,0.000000,0.000000,1.000000,1.000000,-0.016010,10.000000
2.163000,1,0.312101,0.002556,0.521006,0.000000,0.000000,1.000000,1.000000,-0.016006,10.000000
2.173000,1,0.312102,0.002564,0.521011,0.000000,0.000000,1.000000,1.000000,-0.016011,10.000000
2.183000,1,0.312102,0.002567,0.521005,0.000000,0.000000,1.000000,1.000000,-0.016005,10.000000
2.193000,1,0.312100,0.002567,0.521008,0.000000,0.000000,1.000000,1.000000,-0.016008,10.000000
2.203000,1,0.312105,0.002577,0.521009,0.000000,0.000000,1.000000,1.000000,-0.016009,10.000000
2.213000,1,0.312102,0.002579,0.521008,0.000000,0.000000,1.000000,1.000000,-0.016008,10.000000
2.223000,1,0.312103,0.002583,0.521008,0.000000,0.000000,1.000000,1.000000,-0.016008,10.000000
2.233000,1,0.312102,0.002586,0.521005,0.000000,0.000000,1.000000,1.000000,-0.016005,10.000000
2.243000,1,0.312102,0.002594,0.521009,0.000000,0.000000,1.000000,1.000000,-0.016009,10.000000
2.253000,1,0.312103,0.002596,0.521004,0.000000,0.000000,1.000000,1.000000,-0.016004,10.000000
2.263000,1,0.312100,0.002597,0.521006,0.000000,0.000000,1.000000,1.000000,-0.016006,10.000000
2.273000,1,0.312105,0.002606,0.521007,0.000000,0.000000,1.000000,1.000000,-0.016007,10.000000
2.283000,1,0.312102,0.002607,0.521006,0.000000,0.000000,1.000000,1.000000,-0.016006,10.000000
2.293000,1,0.312104,0.002612,0.521006,0.000000,0.000000,1.000000,1.000000,-0.016006,10.000000
2.303000,1,0.312103,0.002614,0.521003,0.000000,0.000000,1.000000,1.000000,-0.016003,10.000000
2.313000,1,0.312103,0.002622,0.521008,0.000000,0.000000,1.000000,1.000000,-0.016008,10.000000
2.323000,1,0.312103,0.002624,0.521002,0.000000,0.000000,1.000000,1.000000,-0.016002,10.000000
2.333000,1,0.312101,0.002624,0.521004,0.000000,0.000000,1.000000,1.000000,-0.016004,10.000000
2.343000,1,0.312106,0.002633,0.521006,0.000000,0.000000,1.000000,1.000000,-0.016006,10.000000
2.353000,1,0.312103,0.002634,0.521005,0.000000,0.000000,1.000000,1.000000,-0.016005,10.000000
2.363000,1,0.312104,0.002638,0.521005,0.000000,0.000000,1.000000,1.000000,-0.016005,10.000000
2.373000,1,0.312104,0.002640,0.521002,0.000000,0.000000,1.000000,1.000000,-0.016002,10.000000
2.383000,1,0.312104,0.002648,0.521006,0.000000,0.000000,1.000000,1.000000,-0.016006,10.000000
2.393000,1,0.312104,0.002649,0.521001,0.000000,0.000000,1.000000,1.000000,-0.016001,10.000000
2.403000,1,0.312102,0.002649,0.521003,0.000000,0.000000,1.000000,1.000000,-0.016003,10.000000
2.413000,1,0.312107,0.002658,0.521004,0.000000,0.000000,1.000000,1.000000,-0.016004,10.000000
2.423000,1,0.312104,0.002659,0.521004,0.000000,0.000000,1.000000,1.000000,-0.016004,10.000000
2.433000,1,0.312105,0.002662,0.521003,0.000000,0.000000,1.000000,1.000000,-0.016003,10.000000
2.443000,1,0.312104,0.002665,0.521000,0.000000,0.000000,1.000000,1.000000,-0.016000,10.000000
2.453000,1,0.312104,0.002672,0.521005,0.000000,0.000000,1.000000,1.000000,-0.016005,10.000000
2.463000,1,0.312105,0.002673,0.521000,0.000000,0.000000,1.000000,1.000000,-0.016000,10.000000
2.473000,1,0.312102,0.002673,0.521002,0.000000,0.000000,1.000000,1.000000,-0.016002,10.000000
2.483000,1,0.312108,0.002681,0.521003,0.000000,0.000000,1.000000,1.000000,-0.016003,10.000000
2.493000,1,0.312105,0.002682,0.521002,0.000000,0.000000,1.000000,1.000000,-0.016002,10.000000
2.503000,1,0.312106,0.002685,0.521002,0.000000,0.000000,1.000000,1.000000,-0.016002,10.000000
2.513000,1,0.312105,0.002687,0.520999,0.000000,0.000000,1.000000,1.000000,-0.015999,10.000000
2.523000,1,0.312105,0.002694,0.521004,0.000000,0.000000,1.000000,1.000000,-0.016004,10.000000
2.533000,1,0.312105,0.002695,0.520998,0.000000,0.000000,1.000000,1.000000,-0.015998,10.000000
2.543000,1,0.312103,0.002694,0.521001,0.000000,0.000000,1.000000,1.000000,-0.016001,10.000000
2.553000,1,0.312108,0.002703,0.521002,0.000000,0.000000,1.000000,1.000000,-0.016002,10.000000
2.563000,1,0.312105,0.002703,0.521001,0.000000,0.000000,1.000000,1.000000,-0.016001,10.000000
2.573000,1,0.312106,0.002706,0.521001,0.000000,0.000000,1.000000,1.000000,-0.016001,10.000000
2.583000,1,0.312106,0.002708,0.520998,0.000000,0.000000,1.000000,1.000000,-0.015998,10.000000
2.593000,1,0.312106,0.002714,0.521003,0.000000,0.000000,1.000000,1.000000,-0.016003,10.000000
